BacMet_ID	Gene_name	Accession	Organism	Location	Compound
BAC0183	golT	Q8ZRG7	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Copper (Cu), Gold (Au)
BAC0184	hasF	Q6GW09	Serratia marcescens	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]
BAC0185	hdeA/yhiB	P0AES9	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0186	hdeB/yhiC	P0AET2	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0187	hefA	B6JLI8	Helicobacter pylori (strain P12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0188	hefC	B6JLJ0	Helicobacter pylori (strain P12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0189	hmrM	P45272	Haemophilus influenzae	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Hoechst 33342 [class: Bisbenzimide]
BAC0569	hmrR	Q9X5V4	Rhizobium leguminosarum bv. Viciae	Chromosome	Copper (Cu), Hydrochloric acid (HCl) [class: Acid]
BAC0190	hmrR	Q9X5X4	Sinorhizobium medicae (strain WSM419) (Ensifer medicae), Plasmid pSymA (Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti))	Plasmid pSMED01	Copper (Cu), Hydrochloric acid (HCl) [class: Acid]
BAC0191	hoxN	P23516	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	Plasmid megaplasmid pHG1 (Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)),	Nickel (Ni)
BAC0617	hpcopA	P77871	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0618	hpcopP	Q48271	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0192	hsmR	B0R6K7	Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1)	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0483	hupE	P27650	Rhizobium leguminosarum bv. Viciae	Plasmid pSym (Rhizobium leguminosarum bv. viciae)	Nickel (Ni)
BAC0484	hupE2	D2WPE1	Rhizobium leguminosarum bv. viciae UPM791	Plasmid pRLUPM791b (Rhizobium leguminosarum bv. viciae UPM791b)	Nickel (Ni)
BAC0193	hupN	Q43955	Azotobacter chroococcum mcd 1	Chromosome	Nickel (Ni)
BAC0194	ibpA	P0C054	Escherichia coli (strain K12)	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0195	ibpB	P0C058	Escherichia coli (strain K12)	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0196	iclR	P16528	Escherichia coli (strain K12)	Chromosome	Sodium acetate [class: Acetate]
BAC0498	ideR	P0A672	Mycobacterium tuberculosis	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides], Plumbagin [class: Naphthoquinone]
BAC0197	irlR	O31395	Burkholderia pseudomallei (strain K96243)	Chromosome	Cadmium (Cd), Zinc (Zn)
BAC0198	irlS	O31396	Burkholderia pseudomallei (strain K96243)	Chromosome	Cadmium (Cd), Zinc (Zn)
BAC0491	kdeA	A6T6T9	Klebsiella pneumoniae (strain MGH 78578)	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0492	kexD	A6TA71	Klebsiella pneumoniae	Chromosome	Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid] 
BAC0199	klaB/telA/kilB	Q52328	Escherichia coli	Plasmid IncP-alpha RK2 (E. coli), Plasmid pBS228 (Pseudomonas aeruginosa)	Tellurium (Te)
BAC0200	klaC/telB	Q52329	Escherichia coli	Plasmid IncP-alpha RK2 (E. coli), Plasmid pBS228 (Pseudomonas aeruginosa)	Tellurium (Te)
BAC0493	kmrA	C4X8X9	Klebsiella pneumoniae	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Hoechst 33342 [class: Bisbenzimide], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0201	kmtR	O53838	Mycobacterium tuberculosis	Chromosome	Nickel (Ni), Cobalt (Co)
BAC0476	kpnE	C4X7Z3	Klebsiella pneumoniae NTUH-K2044	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0477	kpnF	C4X7Z4	Klebsiella pneumoniae NTUH-K2044	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0529	kpnO	C4XBC3	Klebsiella pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Nitrite (NaNo2) [class: Nitrites]
BAC0202	lde	G2JVL2	Listeria monocytogenes	Chromosome	Acridine Orange [class: Acridine], Ethidium Bromide [class: Phenanthridine]
BAC0535	lmrS	Q5HE38	Staphylococcus aureus subsp. aureus COL	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0560	marA	P0ACH5	Escherichia coli (strain K12)	Chromosome	Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]
BAC0561	marR	P27245	Escherichia coli (strain K12)	Chromosome	Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]
BAC0205	mco	Q69HT9	Staphylococcus aureus	Chromosome	Copper (Cu), Cobalt (Co)
BAC0206	mctB	P64883	Mycobacterium tuberculosis	Chromosome	Copper (Cu)
BAC0207	mdeA	P13254	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Crystal Violet [class: Triarylmethane], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Pentamidine [class: Diamidine], Pyronin Y [class: Xanthene]
BAC0208	mdfA/cmr	P0AEY8	Only gram -ve, E. coli (Strain K12)	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Hydroxide (NaOH) [class: Base], Rhodamine 6G [class: Xanthene]
BAC0209	mdrL/yfmO	Q9X769	Listeria monocytogenes	Chromosome	Zinc (Zn), Cobalt (Cobalt), Chromium (Cr), Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0645	mdtA	D0ZND8	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0210	mdtA/yegM	P76397	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0646	mdtB	D0ZND9	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0211	mdtB/yegN	P76398	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Hydrochloric acid (HCl) [class: Acid]
BAC0647	mdtC	D0ZNE0	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0212	mdtC/yegO	P76399	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0213	mdtE/yhiU	P37636	Escherichia coli (strain K12)	Chromosome	Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0214	mdtF/yhiV	P37637	Escherichia coli (strain K12)	Chromosome	Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0215	mdtG/yceE	P25744	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0216	mdtI/ydgE	P69210	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Spermidine [class: Polyamines]
BAC0217	mdtJ/ebrB/ydgF	Q3Z1V3	Shigella sonnei (strain Ss046)	Chromosome	Spermidine [class: Polyamines]
BAC0218	mdtK/ydhE	P37340	Escherichia coli (strain K12)	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine]
BAC0219	mdtM/yjiO	P39386	Escherichia coli (strain K12)	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)]
BAC0220	mdtN/yjcR	P32716	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)]
BAC0221	mepA	Q7A7N0	Only gram +ve, Staphylococcus aureus	Chromosome	Chlorhexidine [class: Biguanides], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)],  Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Pentadiamine [class: Diamidine], Trimethylamine-diphenylhexatriene (TMA-DPH) [class: Diphenylhexatriene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Crystal Violet [class: Triarylmethane], Pyronin Y [class: Xanthene]
BAC0222	mepB	P0C070	Pseudomonas putida	Chromosome	Toluene [class: Aromatic hydrocarbons], n-hexane [class: Alkane]
BAC0223	mepC	P0C071	Pseudomonas putida	Chromosome	Toluene [class: Aromatic hydrocarbons] [class: Aromatic hydrocarbons], n-hexane [class: Alkane]
BAC0224	merA	P16171	Bacillus cereus R6007	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0648	merA	P08662	Serratia marcescens	Plasmid pDU1358	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0649	merA	E3VST6	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0650	merA	O08449	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury], Methylmercury Acetate [class: Organo-mercury]
BAC0651	merA	P0A0E5	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0652	merA	O66017	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0653	merA	Q934S5	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0657	merB	O07303	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury], Methylmercury Acetate [class: Organo-mercury]
BAC0658	merB	P08653	Staphylococcus aureus	plasmid pI258	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0659	merB	P08664	Serratia marcescens	Plasmid pDU1358	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0660	merB	Q52396	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0654	merB1	P16172	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0663	merB1	Q9XDX3	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury]
BAC0655	merB2	Q9WWL2	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0661	merB2	Q7DJN2	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury]
BAC0656	merB3	Q7DHE7	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0662	merB3	Q9RHR0	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury], Thimerosal [class: Organo-mercury], Methylmercury chloride [class: Organo-mercury], Ethylmercury chloride [class: Organo-mercury]
BAC0664	merC	O66048	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0226	merC	P22905	Thiobacillus ferrooxidans (Acidithiobacillus ferrooxidans)	Chromosome	Mercury (Hg)
BAC0665	merD	O66022	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0666	merD	O66018	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0227	merD	P06689	Pseudomonas aeruginosa	Plasmid pVS1	Mercury (Hg)
BAC0667	merD	P08654	Serratia marcescens	Plasmid pDU1358	Mercury (Hg)
BAC0668	merD	Q5NUV1 	Ralstonia metallidurans CH34	Plasmid pMOL28, Plasmid pMOL30	Mercury (Hg)
BAC0669	merD	Q9Z3Y7	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg)
BAC0670	merE	Q52104	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0671	merE	Q79BG5	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0672	merE	Q79BE4	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0673	merE	P06690	Pseudomonas aeruginosa	Plasmid pVS1	Mercury (Hg)
BAC0228	merF	Q2QCN0	Pseudomonas sp. CT14Â 	Plasmid pMER327/419 (Pseudomonas fluorescens), Plasmid pECL_A (Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56))	Mercury (Hg)
BAC0229	merG	O07302	Pseudomonas sp. K-62	Plasmid pMR26Â (Pseudomonas sp. K-62), Plasmid pIJB1 (Burkholderia cepacia (Pseudomonas cepacia))	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0230	merH	B2I419	Mycobacterium marinum (strain ATCC BAA-535 / M)	Plasmid pMM23 (Mycobacterium marinum), Plasmid pMAB (Mycobacterium abscessus (strain ATCC 19977 / DSM 44196))	Mercury (Hg)
BAC0674	merP	Q934S6	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0231	merP	P13113	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0675	merP	O07301	Pseudomonas sp. K-62	Plasmid pMR26Â (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0676	merP	Q7DHE4	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0677	merP	H6WCN4	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0678	merP	O66016	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0679	merP	O66047	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0680	merR	P22874	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0232	merR	P0A183	Pseudomonas aeruginosa	Plasmid pVS1 (Pseudomonas aeruginosa)	Mercury (Hg)
BAC0685	merR	H6WCN2	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0686	merR	P13111	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0687	merR	Q79BG7	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0689	merR	Q934S8	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0682	merR1	P22853	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0683	merR1	O07300	Pseudomonas sp. K-62	Plasmid pMR26Â (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0681	merR2	Q9WWL1	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0684	merR2	Q7DKL2	Pseudomonas sp. K-62	Plasmid pMR26Â (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0688	merR2	Q79B70	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0690	merT	Q934S7	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0691	merT	Q52397	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0692	merT	Q79BG6	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0693	merT	Q79F00	Pseudomonas sp. K-62	Plasmid pMR26Â (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0233	merT	P94185	Alcaligenes sp.	Plasmid IncHI2, pMER610 (Alcaligenes spp.)	Mercury (Hg)
BAC0695	merT	P13112	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0696	merT	P08656	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0697	merT	Q7DHE5	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0694	merT-P	H6WCN3	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0234	mexA	P52477	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0235	mexB	P52002	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0236	mexC	Q51395	Pseudomonas aeruginosa	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0237	mexD	Q51396	Pseudomonas aeruginosa	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0238	mexE	Q1IB41	Pseudomonas entomophila (strain L48)	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0239	mexF	Q4KBN7	Pseudomonas fluorescens (strain Pf-5/ATCC BAA-477)	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0240	mexI	Q9HWH4	Pseudomonas aeruginosa 138244	Chromosome	Vanadium (V), Triclosan [class: Phenolic compounds]
BAC0241	mexJ	Q9HXW3	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0242	mexK	Q9HXW4	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0243	mexR	P52003	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0244	mexT	O87785	Pseudomonas aeruginosa	Chromosome	Triclosan [class: Phenolic compounds]
BAC0245	mexV	Q9HW28	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]
BAC0246	mexW	Q9HW27	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]
BAC0247	mexX	Q9ZNG9	Pseudomonas aeruginosa	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0248	mexY	Q9ZNG8	Pseudomonas aeruginosa	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0642	mgtA	P36640	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0087	mgtA	P0ABB8	Escherichia coli (strain K12)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0480	mmco	O53858	Mycobacterium tuberculosis	Chromosome	Copper (Cu)
BAC0249	mmR	P69926	Mycobacterium tuberculosis	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene]
BAC0250	mntA/ytgA	O34385	Bacillus subtilis (strain 168)	Chromosome	Manganese (Mn), Cadmium (Cd)
BAC0251	mntH/yfeP	P0A769	Escherichia coli (strain K12)	Chromosome	Manganese (Mn), Iron (Fe), Cadmium (Cd), Cobalt (Co), Zinc (Zn)
BAC0252	mntP/yebN	P76264	Escherichia coli K-12	Chromosome	Manganese (Mn), Magnesium (Mg), Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0253	mntR	P0A9F1	Escherichia coli	Chromosome	Manganese (Mn), Magnesium (Mg)
BAC0598	modA	Q72FN6	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0609	modA	P37329	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0599	modB	Q72FN2	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0610	modB	P0AF01	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0600	modC	Q72FN3	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0611	modC	P09833	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0608	modE	P0A9G8	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0254	mrdH	Q88IN1	Pseudomonas putida (strain KT2440)	Plasmid pWW0 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Nickel (Ni), Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0255	mreA	Q88IN0	Pseudomonas putida (strain KT2440)	Chromosome	Nickel (Ni), Zinc (Zn)
BAC0256	mtrA	Q9WW32	Neisseria gonorrhoeae	Chromosome	Triton X-100 [class: Polyethylene glycol]
BAC0257	mtrC	P43505	Neisseria gonorrhoeae	Chromosome	Triton X-100 [class: Polyethylene glycol], Crystal Violet [class: Triarylmethane]
BAC0258	mtrD	Q5F725	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	Chromosome	Triton X-100 [class: Polyethylene glycol]
BAC0259	mtrE	B4RN86	Neisseria gonorrhoeae (strain NCCP11945)	Chromosome	Triton X-100 [class: Polyethylene glycol], Sodium Cholate [class: Acid]
BAC0260	mtrF	B4RN92	Neisseria gonorrhoeae (strain NCCP11945)	Chromosome	Triton X-100 [class: Polyethylene glycol]
BAC0261	mtrR	P39897	Neisseria gonorrhoeae	Chromosome	Triton X-100 [class: Polyethylene glycol], Crystal Violet [class: Triarylmethane]
BAC0262	mymT	P0CI28	Mycobacterium tuberculosis	Chromosome	Copper (Cu), Nickel (Ni), Zinc (Zn)
BAC0549	nccA	Q44586	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0550	nccB	Q44585	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0551	nccC	Q44584	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0555	nccH	Q44583	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0554	nccN	Q44587	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0553	nccX	Q44582	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0552	nccY	Q44581	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0263	ncrA	Q06VT3	Leptospirillum ferriphilum	Chromosome	Nickel (Ni)
BAC0698	ncrA	Q1KLR2	Serratia marcescens strain C-1	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0702	ncrA	Q8VTR6	Hafnia alvei 5-5	Plasmid pNRS148	Cobalt (Co), Nickel (Ni)
BAC0264	ncrB	Q06VT2	Leptospirillum ferriphilum	Chromosome	Nickel (Ni)
BAC0699	ncrB	Q1KLR1	Serratia marcescens strain C-1	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0703	ncrB	Q8VTR5	Hafnia alvei 5-5	Plasmid pNRS148	Cobalt (Co), Nickel (Ni)
